,상호명,광역시도,시도,주소,입점수
478,빽다방,서울특별시,강남구,서울특별시 강남구,16
479,빽다방,서울특별시,종로구,서울특별시 종로구,7
480,빽다방,서울특별시,성북구,서울특별시 성북구,6
481,빽다방,서울특별시,동작구,서울특별시 동작구,4
482,빽다방,부산광역시,동래구,부산광역시 동래구,2
483,빽다방,부산광역시,금정구,부산광역시 금정구,3
484,빽다방,서울특별시,성북구,서울특별시 성북구,6
485,빽다방,서울특별시,서대문구,서울특별시 서대문구,4
486,빽다방,서울특별시,서초구,서울특별시 서초구,9
487,빽다방,서울특별시,동대문구,서울특별시 동대문구,5
488,빽다방,서울특별시,성북구,서울특별시 성북구,6
489,빽다방,서울특별시,강동구,서울특별시 강동구,5
490,빽다방,서울특별시,중구,서울특별시 중구,7
491,빽다방,서울특별시,종로구,서울특별시 종로구,7
492,빽다방,서울특별시,노원구,서울특별시 노원구,5
493,빽다방,서울특별시,노원구,서울특별시 노원구,5
494,빽다방,서울특별시,서초구,서울특별시 서초구,9
495,빽다방,부산광역시,기장군,부산광역시 기장군,1
496,빽다방,서울특별시,성동구,서울특별시 성동구,4
497,빽다방,서울특별시,종로구,서울특별시 종로구,7
498,빽다방,서울특별시,관악구,서울특별시 관악구,5
499,빽다방,서울특별시,중랑구,서울특별시 중랑구,2
500,빽다방,부산광역시,북구,부산광역시 북구,3
501,빽다방,부산광역시,부산진구,부산광역시 부산진구,3
502,빽다방,서울특별시,강남구,서울특별시 강남구,16
503,빽다방,서울특별시,중구,서울특별시 중구,7
504,빽다방,서울특별시,서초구,서울특별시 서초구,9
505,빽다방,서울특별시,성북구,서울특별시 성북구,6
506,빽다방,서울특별시,강서구,서울특별시 강서구,8
507,빽다방,서울특별시,강남구,서울특별시 강남구,16
508,빽다방,서울특별시,강서구,서울특별시 강서구,8
509,빽다방,서울특별시,성동구,서울특별시 성동구,4
510,빽다방,서울특별시,관악구,서울특별시 관악구,5
511,빽다방,서울특별시,영등포구,서울특별시 영등포구,6
512,빽다방,서울특별시,영등포구,서울특별시 영등포구,6
513,빽다방,서울특별시,구로구,서울특별시 구로구,5
514,빽다방,서울특별시,동작구,서울특별시 동작구,4
515,빽다방,서울특별시,동대문구,서울특별시 동대문구,5
516,빽다방,서울특별시,강서구,서울특별시 강서구,8
517,빽다방,서울특별시,마포구,서울특별시 마포구,6
518,빽다방,서울특별시,구로구,서울특별시 구로구,5
519,빽다방,서울특별시,양천구,서울특별시 양천구,4
520,빽다방,서울특별시,중구,서울특별시 중구,7
521,빽다방,서울특별시,양천구,서울특별시 양천구,4
522,빽다방,부산광역시,중구,부산광역시 중구,3
523,빽다방,서울특별시,송파구,서울특별시 송파구,11
524,빽다방,서울특별시,서초구,서울특별시 서초구,9
525,빽다방,서울특별시,동대문구,서울특별시 동대문구,5
526,빽다방,서울특별시,강남구,서울특별시 강남구,16
527,빽다방,서울특별시,송파구,서울특별시 송파구,11
528,빽다방,서울특별시,용산구,서울특별시 용산구,4
529,빽다방,서울특별시,강남구,서울특별시 강남구,16
530,빽다방,서울특별시,노원구,서울특별시 노원구,5
531,빽다방,서울특별시,은평구,서울특별시 은평구,6
532,빽다방,부산광역시,사하구,부산광역시 사하구,1
533,빽다방,서울특별시,중랑구,서울특별시 중랑구,2
534,빽다방,서울특별시,강서구,서울특별시 강서구,8
535,빽다방,서울특별시,중구,서울특별시 중구,7
536,빽다방,서울특별시,성동구,서울특별시 성동구,4
537,빽다방,서울특별시,중구,서울특별시 중구,7
538,빽다방,서울특별시,강서구,서울특별시 강서구,8
539,빽다방,부산광역시,북구,부산광역시 북구,3
540,빽다방,서울특별시,강서구,서울특별시 강서구,8
541,빽다방,서울특별시,종로구,서울특별시 종로구,7
542,빽다방,서울특별시,송파구,서울특별시 송파구,11
543,빽다방,서울특별시,서대문구,서울특별시 서대문구,4
544,빽다방,서울특별시,송파구,서울특별시 송파구,11
545,빽다방,서울특별시,관악구,서울특별시 관악구,5
